,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_rank,params_window_length,system_attrs_nsga2:generation,state
38,38,0.5218494567584584,0.0732105441057954,2024-05-10 17:51:07.395665,2024-05-10 17:51:20.705389,0 days 00:00:13.309724,41,12,156,0,COMPLETE
39,39,0.057918167750549275,0.11033849397280156,2024-05-10 17:51:20.709398,2024-05-10 17:51:31.176683,0 days 00:00:10.467285,90,47,52,0,COMPLETE
40,40,-0.024298412637217548,0.09998766496031017,2024-05-10 17:51:31.182114,2024-05-10 17:51:38.531035,0 days 00:00:07.348921,47,20,42,0,COMPLETE
41,41,-0.6259197506627119,0.15000685307153683,2024-05-10 17:51:38.536652,2024-05-10 17:51:46.840235,0 days 00:00:08.303583,16,4,35,0,COMPLETE
42,42,-1.0502847113636284,0.1512276546674193,2024-05-10 17:51:46.842274,2024-05-10 17:51:54.074739,0 days 00:00:07.232465,26,34,38,0,COMPLETE
43,43,0.2712421243382849,0.09319016810022683,2024-05-10 17:51:54.080306,2024-05-10 17:52:02.689667,0 days 00:00:08.609361,40,10,93,0,COMPLETE
44,44,0.09591683478169784,0.1098905005266562,2024-05-10 17:52:02.690664,2024-05-10 17:52:12.999140,0 days 00:00:10.308476,95,148,189,0,COMPLETE
45,45,0.027156319766451074,0.11588429798873841,2024-05-10 17:52:12.999140,2024-05-10 17:52:24.679116,0 days 00:00:11.679976,84,26,33,0,COMPLETE
46,46,-0.08077234945201409,0.12211275853206378,2024-05-10 17:52:24.679116,2024-05-10 17:52:32.619593,0 days 00:00:07.940477,55,57,121,0,COMPLETE
47,47,0.4001981264009496,0.0873969159974221,2024-05-10 17:52:32.627028,2024-05-10 17:52:44.802501,0 days 00:00:12.175473,56,33,128,0,COMPLETE
48,48,-0.03568201669446227,0.11721196172172832,2024-05-10 17:52:44.809575,2024-05-10 17:52:55.349683,0 days 00:00:10.540108,79,54,116,0,COMPLETE
49,49,-0.6419672512434784,0.14589014026699848,2024-05-10 17:52:55.350712,2024-05-10 17:53:04.755189,0 days 00:00:09.404477,77,48,108,0,COMPLETE
50,50,-2.4999184515660047,0.18972019572459617,2024-05-10 17:53:04.759178,2024-05-10 17:53:10.089654,0 days 00:00:05.330476,52,18,93,1,COMPLETE
51,51,-0.1281146306324269,0.10508917565137285,2024-05-10 17:53:10.094386,2024-05-10 17:53:15.684758,0 days 00:00:05.590372,49,17,141,1,COMPLETE
52,52,-0.1279939831595135,0.11829374836011741,2024-05-10 17:53:15.688900,2024-05-10 17:53:24.093730,0 days 00:00:08.404830,74,45,71,1,COMPLETE
53,53,-0.2123184922380746,0.12597322905816152,2024-05-10 17:53:24.097586,2024-05-10 17:53:29.908270,0 days 00:00:05.810684,72,67,82,1,COMPLETE
54,54,-6.273591345446631,0.301663447650556,2024-05-10 17:53:29.915129,2024-05-10 17:53:45.069598,0 days 00:00:15.154469,4,5,104,1,COMPLETE
55,55,-0.3747421572862516,0.135694772023185,2024-05-10 17:53:45.076793,2024-05-10 17:53:53.858996,0 days 00:00:08.782203,41,75,128,1,COMPLETE
56,56,0.017777559309280155,0.10811676225166089,2024-05-10 17:53:53.858996,2024-05-10 17:53:59.688722,0 days 00:00:05.829726,78,30,109,1,COMPLETE
57,57,-5.546563969744172,0.2894484284876921,2024-05-10 17:53:59.697282,2024-05-10 17:54:07.681085,0 days 00:00:07.983803,5,48,119,1,COMPLETE
58,58,-0.916199507788748,0.15174891474576563,2024-05-10 17:54:07.687993,2024-05-10 17:54:23.091339,0 days 00:00:15.403346,33,11,136,1,COMPLETE
59,59,-0.4772315865695857,0.14125383928117388,2024-05-10 17:54:23.098737,2024-05-10 17:54:31.253337,0 days 00:00:08.154600,65,92,189,1,COMPLETE
60,60,-2.9714869071950742,0.2130561429304298,2024-05-10 17:54:31.259686,2024-05-10 17:54:39.300643,0 days 00:00:08.040957,3,11,39,1,COMPLETE
61,61,-2.260980131427422,0.1927597171318875,2024-05-10 17:54:39.309057,2024-05-10 17:54:46.011082,0 days 00:00:06.702025,26,49,59,1,COMPLETE
62,62,-8.422466623201005,0.34290616299710236,2024-05-10 17:54:46.014871,2024-05-10 17:54:50.998924,0 days 00:00:04.984053,3,23,52,1,COMPLETE
