,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_window_length,system_attrs_nsga2:generation,state
38,38,-13.651983015551014,7.636967416337333e-05,2024-05-16 12:31:33.942964,2024-05-16 12:31:35.978173,0 days 00:00:02.035209,56,94,0,COMPLETE
39,39,-9.03928389760598,6.337534637298187e-05,2024-05-16 12:31:35.991393,2024-05-16 12:31:38.089549,0 days 00:00:02.098156,28,213,0,COMPLETE
40,40,-5.3826207566572775,4.905242933867368e-05,2024-05-16 12:31:38.102023,2024-05-16 12:31:39.988846,0 days 00:00:01.886823,18,177,0,COMPLETE
41,41,-23.09158881660137,0.00010164249635184947,2024-05-16 12:31:40.005554,2024-05-16 12:31:42.346912,0 days 00:00:02.341358,76,91,0,COMPLETE
42,42,-4.050934055621772,4.3115032108586694e-05,2024-05-16 12:31:42.349964,2024-05-16 12:31:44.344925,0 days 00:00:01.994961,12,8,0,COMPLETE
43,43,-4.4645252317141955,4.514022283148913e-05,2024-05-16 12:31:44.346715,2024-05-16 12:31:46.330955,0 days 00:00:01.984240,10,47,0,COMPLETE
44,44,-23.686253801133077,0.00010032003784969464,2024-05-16 12:31:46.332918,2024-05-16 12:31:48.609876,0 days 00:00:02.276958,72,133,0,COMPLETE
45,45,-23.29993689606509,9.508781912609283e-05,2024-05-16 12:31:48.611871,2024-05-16 12:31:52.244675,0 days 00:00:03.632804,75,93,0,COMPLETE
46,46,-12.23877644113195,7.386035879565568e-05,2024-05-16 12:31:52.247728,2024-05-16 12:31:54.663569,0 days 00:00:02.415841,51,125,0,COMPLETE
47,47,-456.92053586951954,0.00026136388804980147,2024-05-16 12:31:54.670586,2024-05-16 12:31:57.579692,0 days 00:00:02.909106,71,82,0,COMPLETE
48,48,-55.7088251952066,0.00011583549102331822,2024-05-16 12:31:57.582766,2024-05-16 12:32:00.045609,0 days 00:00:02.462843,57,182,0,COMPLETE
49,49,-4.897389440220553,4.5456788115392066e-05,2024-05-16 12:32:00.051712,2024-05-16 12:32:01.969972,0 days 00:00:01.918260,22,111,0,COMPLETE
50,50,-18.266629458240974,8.719051271867501e-05,2024-05-16 12:32:01.971967,2024-05-16 12:32:04.389070,0 days 00:00:02.417103,90,47,1,COMPLETE
51,51,-13.089394339238154,7.499246654117587e-05,2024-05-16 12:32:04.390033,2024-05-16 12:32:06.583712,0 days 00:00:02.193679,59,72,1,COMPLETE
