,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,params_use_boxcox,system_attrs_nsga2:generation,state
27,27,-0.4561353914220746,0.13434970906471838,2024-05-16 08:17:59.029831,2024-05-16 08:18:00.726610,0 days 00:00:01.696779,22,0.225003099645105,0.891995962014653,True,0,COMPLETE
28,28,-0.47749986825504054,0.1442498874651752,2024-05-16 08:18:00.727621,2024-05-16 08:18:02.550581,0 days 00:00:01.822960,89,0.310693526635477,0.6342868263323117,False,0,COMPLETE
29,29,-0.52611501088055,0.14751924349634274,2024-05-16 08:18:02.552843,2024-05-16 08:18:04.953857,0 days 00:00:02.401014,89,0.47398456405564415,0.9926517704173927,False,0,COMPLETE
30,30,-1.301820803353591,0.15259901734890063,2024-05-16 08:18:04.955070,2024-05-16 08:18:06.484565,0 days 00:00:01.529495,3,0.31352251889857774,0.2903145524955463,True,0,COMPLETE
31,31,-1.123808415206446,0.17422288634589583,2024-05-16 08:18:06.486559,2024-05-16 08:18:07.054344,0 days 00:00:00.567785,59,0.578164547153344,0.48367857533340586,False,0,COMPLETE
32,32,-0.5009592411928079,0.13945644747341415,2024-05-16 08:18:07.056340,2024-05-16 08:18:10.931423,0 days 00:00:03.875083,34,0.9735909619567077,0.23257737858841776,True,0,COMPLETE
33,33,-0.815129039369543,0.15878008393103477,2024-05-16 08:18:10.932377,2024-05-16 08:18:12.309991,0 days 00:00:01.377614,19,0.28010860285732897,0.019667208869319275,True,0,COMPLETE
34,34,-0.1539369419392203,0.12500741943607255,2024-05-16 08:18:12.311217,2024-05-16 08:18:14.299946,0 days 00:00:01.988729,63,0.6418965863807481,0.056677497000538146,True,0,COMPLETE
35,35,0.21752735763761474,0.10355545026902495,2024-05-16 08:18:14.302308,2024-05-16 08:18:15.575723,0 days 00:00:01.273415,17,0.8312616653625509,0.18773922746579486,False,0,COMPLETE
36,36,-2.5384907724321044,0.22318219553180252,2024-05-16 08:18:15.576722,2024-05-16 08:18:17.519749,0 days 00:00:01.943027,9,0.3615069029929081,0.02359935679714964,False,0,COMPLETE
37,37,-2.257250147094375,0.1913501663705173,2024-05-16 08:18:17.520825,2024-05-16 08:18:19.012132,0 days 00:00:01.491307,60,0.4460572735792592,0.3227384477495465,True,0,COMPLETE
38,38,-0.9229810980326019,0.15676751691209537,2024-05-16 08:18:19.014126,2024-05-16 08:18:20.772312,0 days 00:00:01.758186,70,0.7279124735827006,0.07785774252445843,False,0,COMPLETE
39,39,-0.8744815774322952,0.15776187731612382,2024-05-16 08:18:20.773310,2024-05-16 08:18:22.597861,0 days 00:00:01.824551,11,0.8001838630505037,0.7492471623880999,True,0,COMPLETE
40,40,-1.4525786818108055,0.1752766361457229,2024-05-16 08:18:22.599856,2024-05-16 08:18:23.953559,0 days 00:00:01.353703,20,0.8271162716629962,0.6884315245097696,True,0,COMPLETE
41,41,-0.7498683942981994,0.14987503754935677,2024-05-16 08:18:23.954556,2024-05-16 08:18:27.166926,0 days 00:00:03.212370,36,0.7803446337111748,0.4516727337356069,False,0,COMPLETE
42,42,-0.6690572564780698,0.1547983379595887,2024-05-16 08:18:27.166926,2024-05-16 08:18:27.712674,0 days 00:00:00.545748,10,0.0037871646884365395,0.07552872006951283,True,0,COMPLETE
43,43,0.009583902903465535,0.11324433074009219,2024-05-16 08:18:27.713994,2024-05-16 08:18:30.119627,0 days 00:00:02.405633,32,0.6127370442950446,0.941236161838664,False,0,COMPLETE
44,44,-0.07463767043210623,0.11941280982961038,2024-05-16 08:18:30.121622,2024-05-16 08:18:32.552796,0 days 00:00:02.431174,11,0.6461626125658021,0.831731137162014,False,0,COMPLETE
45,45,0.128544798485078,0.1046572600070379,2024-05-16 08:18:32.554048,2024-05-16 08:18:35.224034,0 days 00:00:02.669986,53,0.4879319062745462,0.4589221096227811,False,0,COMPLETE
46,46,-0.27017417694760326,0.12697052082184285,2024-05-16 08:18:35.226063,2024-05-16 08:18:37.502461,0 days 00:00:02.276398,69,0.9473368067046174,0.9147787508142867,True,0,COMPLETE
47,47,-0.34257384092631027,0.12813243531666174,2024-05-16 08:18:37.503458,2024-05-16 08:18:39.987213,0 days 00:00:02.483755,75,0.7486125488799519,0.24630302076686028,True,0,COMPLETE
48,48,-0.2129911029016057,0.12427921461231135,2024-05-16 08:18:39.989277,2024-05-16 08:18:42.718785,0 days 00:00:02.729508,58,0.47142547551301817,0.2900636173832699,False,0,COMPLETE
49,49,-0.38366073892400443,0.14041710513667086,2024-05-16 08:18:42.720038,2024-05-16 08:18:45.387407,0 days 00:00:02.667369,99,0.7010900462694593,0.6866023499786337,True,0,COMPLETE
50,50,-1.1124638974354324,0.16204915386803115,2024-05-16 08:18:45.388486,2024-05-16 08:18:46.372044,0 days 00:00:00.983558,25,0.6725626808413397,0.4531736262420576,False,1,COMPLETE
51,51,-1.1570411825914793,0.1642260695405753,2024-05-16 08:18:46.374195,2024-05-16 08:18:47.431201,0 days 00:00:01.057006,39,0.030439285497297797,0.06693206732750656,True,1,COMPLETE
52,52,-1.6424519312979242,0.1826585248059058,2024-05-16 08:18:47.433441,2024-05-16 08:18:50.141024,0 days 00:00:02.707583,34,0.3507181721826542,0.7062916286405434,True,1,COMPLETE
53,53,-0.3054178254889619,0.12994405022827163,2024-05-16 08:18:50.142022,2024-05-16 08:18:51.962937,0 days 00:00:01.820915,77,0.387324958003183,0.6884315245097696,False,1,COMPLETE
54,54,0.3572490640533104,0.09232171873635403,2024-05-16 08:18:51.964932,2024-05-16 08:18:55.319529,0 days 00:00:03.354597,58,0.7949874873712804,0.27262932616117297,False,1,COMPLETE
55,55,-0.07695237111930771,0.11521017609859907,2024-05-16 08:18:55.320526,2024-05-16 08:18:58.999357,0 days 00:00:03.678831,95,0.7803446337111748,0.40882399645604595,False,1,COMPLETE
56,56,-0.6401634015626493,0.14880673951020035,2024-05-16 08:18:59.001352,2024-05-16 08:19:02.061343,0 days 00:00:03.059991,19,0.345172848614146,0.017868853211146285,True,1,COMPLETE
57,57,-0.41800344676297296,0.13922643384522307,2024-05-16 08:19:02.063339,2024-05-16 08:19:06.248125,0 days 00:00:04.184786,93,0.6461626125658021,0.831731137162014,False,1,COMPLETE
58,58,-0.7424841473773811,0.15893906258374468,2024-05-16 08:19:06.249694,2024-05-16 08:19:11.406083,0 days 00:00:05.156389,93,0.7486125488799519,0.9418809962218857,True,1,COMPLETE
59,59,0.23434963973688375,0.10153283884310922,2024-05-16 08:19:11.410139,2024-05-16 08:19:15.336024,0 days 00:00:03.925885,99,0.7010900462694593,0.09529769336515159,False,1,COMPLETE
60,60,0.11996962365317454,0.11038291965767481,2024-05-16 08:19:15.337017,2024-05-16 08:19:18.934054,0 days 00:00:03.597037,69,0.8469042014752189,0.8676576060042794,True,1,COMPLETE
61,61,-1.2031049962190554,0.1771579466351436,2024-05-16 08:19:18.935051,2024-05-16 08:19:21.039854,0 days 00:00:02.104803,34,0.6895489805070489,0.7062916286405434,True,1,COMPLETE
62,62,-2.3201349020149955,0.19023222724829708,2024-05-16 08:19:21.042842,2024-05-16 08:19:24.257050,0 days 00:00:03.214208,3,0.3367666001108366,0.3488007325676238,True,1,COMPLETE
63,63,-0.4887717407234655,0.14503057129800345,2024-05-16 08:19:24.259045,2024-05-16 08:19:27.169764,0 days 00:00:02.910719,17,0.7142018300296177,0.9496549273861077,False,1,COMPLETE
64,64,-1.216866139933189,0.17535827931089149,2024-05-16 08:19:27.171775,2024-05-16 08:19:29.439775,0 days 00:00:02.268000,58,0.47142547551301817,0.06693206732750656,False,1,COMPLETE
65,65,0.06930161170179094,0.1106553361372598,2024-05-16 08:19:29.441769,2024-05-16 08:19:32.682370,0 days 00:00:03.240601,58,0.5819392647960895,0.43776005475302393,False,1,COMPLETE
66,66,-0.18062821500631548,0.12187955652672167,2024-05-16 08:19:32.684365,2024-05-16 08:19:35.441329,0 days 00:00:02.756964,45,0.7010900462694593,0.469848906520945,True,1,COMPLETE
67,67,0.15187689514092476,0.10127098858940738,2024-05-16 08:19:35.442451,2024-05-16 08:19:38.421787,0 days 00:00:02.979336,55,0.8961890436229181,0.6201856047543517,True,1,COMPLETE
68,68,0.03504989639304923,0.10944995273391975,2024-05-16 08:19:38.423780,2024-05-16 08:19:40.861647,0 days 00:00:02.437867,36,0.9875500492208333,0.40882399645604595,False,1,COMPLETE
69,69,-0.24794070310429275,0.13188636312091134,2024-05-16 08:19:40.863194,2024-05-16 08:19:43.079433,0 days 00:00:02.216239,56,0.6236585515936329,0.2952737676069145,True,1,COMPLETE
70,70,-1.8364193275481504,0.1803970696197811,2024-05-16 08:19:43.081545,2024-05-16 08:19:47.245266,0 days 00:00:04.163721,54,0.10020649473355814,0.9919122041140844,True,1,COMPLETE
71,71,0.3968240178042152,0.08629834895194659,2024-05-16 08:19:47.247288,2024-05-16 08:19:49.297073,0 days 00:00:02.049785,58,0.7949874873712804,0.4114277405311313,False,1,COMPLETE
72,72,-0.16875777221805127,0.1193423494204308,2024-05-16 08:19:49.299069,2024-05-16 08:19:52.511792,0 days 00:00:03.212723,52,0.9745573768214442,0.3431529615843193,False,1,COMPLETE
