,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_rank,params_window_length,system_attrs_nsga2:generation,state
37,37,-24488.805554395654,0.0016540761090286433,2024-05-16 13:19:08.914903,2024-05-16 13:19:17.876362,0 days 00:00:08.961459,724,3,8,0,COMPLETE
38,38,-1166.380905334141,0.00040029753490679863,2024-05-16 13:19:17.879404,2024-05-16 13:19:22.970741,0 days 00:00:05.091337,299,27,121,0,COMPLETE
39,39,-106.4463115122926,0.0001658738495851166,2024-05-16 13:19:22.982566,2024-05-16 13:19:26.250661,0 days 00:00:03.268095,279,6,63,0,COMPLETE
40,40,-1307.734439211753,0.0005654400732579065,2024-05-16 13:19:26.260169,2024-05-16 13:19:34.457733,0 days 00:00:08.197564,878,2,177,0,COMPLETE
41,41,-212.29593356373795,0.0002930872709862424,2024-05-16 13:19:34.459729,2024-05-16 13:19:44.880801,0 days 00:00:10.421072,807,84,121,0,COMPLETE
42,42,-629.9807954604701,0.0004708238925020423,2024-05-16 13:19:44.882991,2024-05-16 13:19:54.406916,0 days 00:00:09.523925,787,82,94,0,COMPLETE
43,43,-30.630114119097065,0.00010405299747476431,2024-05-16 13:19:54.408911,2024-05-16 13:19:56.674700,0 days 00:00:02.265789,37,7,17,0,COMPLETE
44,44,-245.86350014804057,0.0003120467993335416,2024-05-16 13:19:56.676175,2024-05-16 13:20:09.652346,0 days 00:00:12.976171,953,120,127,0,COMPLETE
45,45,-3964.360176197446,0.0008009313984615627,2024-05-16 13:20:09.653343,2024-05-16 13:20:15.252279,0 days 00:00:05.598936,668,16,33,0,COMPLETE
46,46,-115.20287280428519,0.00021384786361197303,2024-05-16 13:20:15.254440,2024-05-16 13:20:19.253957,0 days 00:00:03.999517,606,7,12,0,COMPLETE
47,47,-3433.0874304779813,0.0008654092600703904,2024-05-16 13:20:19.255951,2024-05-16 13:20:31.438419,0 days 00:00:12.182468,868,135,142,0,COMPLETE
48,48,-4.630251490457161,4.582186659995782e-05,2024-05-16 13:20:31.441372,2024-05-16 13:20:34.030531,0 days 00:00:02.589159,4,18,21,0,COMPLETE
49,49,-145.74037625978798,0.000160053106802929,2024-05-16 13:20:34.031528,2024-05-16 13:20:42.261835,0 days 00:00:08.230307,290,132,156,0,COMPLETE
