,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,system_attrs_nsga2:generation,state
35,35,-0.8766002847271016,0.007033496879549507,2024-05-18 14:19:58.338518,2024-05-18 14:20:00.852212,0 days 00:00:02.513694,574,0.6161608553742852,0,COMPLETE
36,36,-0.6833718757172216,0.006384494039567662,2024-05-18 14:20:00.853210,2024-05-18 14:20:04.785754,0 days 00:00:03.932544,734,0.4628518581193898,0,COMPLETE
37,37,-0.9456291159206744,0.006991641656668673,2024-05-18 14:20:04.786749,2024-05-18 14:20:07.275362,0 days 00:00:02.488613,457,0.5555049942541929,0,COMPLETE
38,38,-1.0053556352058723,0.007130795325166842,2024-05-18 14:20:07.275362,2024-05-18 14:20:09.392101,0 days 00:00:02.116739,244,0.1897965120599433,0,COMPLETE
39,39,-0.6572985997580203,0.0066314306530701524,2024-05-18 14:20:09.392640,2024-05-18 14:20:11.958458,0 days 00:00:02.565818,404,0.27379101105617243,0,COMPLETE
40,40,-1.3062693705086816,0.007553258576776809,2024-05-18 14:20:11.958458,2024-05-18 14:20:14.108795,0 days 00:00:02.150337,314,0.34539448589430766,0,COMPLETE
41,41,-0.2824079640723834,0.00575691599684552,2024-05-18 14:20:14.108795,2024-05-18 14:20:16.289853,0 days 00:00:02.181058,378,0.17260011238648731,0,COMPLETE
42,42,-0.6365641023139371,0.006513409673740078,2024-05-18 14:20:16.289853,2024-05-18 14:20:20.038564,0 days 00:00:03.748711,701,0.34453022727376603,0,COMPLETE
43,43,-0.7264622656995918,0.006652772791850735,2024-05-18 14:20:20.038564,2024-05-18 14:20:22.616997,0 days 00:00:02.578433,537,0.6542779406987147,0,COMPLETE
44,44,-0.5902624795612532,0.006346899423017367,2024-05-18 14:20:22.617993,2024-05-18 14:20:27.114674,0 days 00:00:04.496681,994,0.2335881470645247,0,COMPLETE
45,45,-0.4750051364997633,0.0060762647936814735,2024-05-18 14:20:27.114674,2024-05-18 14:20:29.594253,0 days 00:00:02.479579,374,0.10395212175195867,0,COMPLETE
46,46,-1.2521789408329989,0.0076092808622849175,2024-05-18 14:20:29.595250,2024-05-18 14:20:31.353240,0 days 00:00:01.757990,166,0.4332768441827871,0,COMPLETE
47,47,-0.602530154100247,0.006476535755455442,2024-05-18 14:20:31.353240,2024-05-18 14:20:32.979743,0 days 00:00:01.626503,199,0.3150393675610824,0,COMPLETE
48,48,-3.163206986850029,0.010713937331572537,2024-05-18 14:20:32.995365,2024-05-18 14:20:34.877160,0 days 00:00:01.881795,339,0.002032925054384793,0,COMPLETE
49,49,-0.7263332670596127,0.0065660969708003615,2024-05-18 14:20:34.878158,2024-05-18 14:20:37.188009,0 days 00:00:02.309851,548,0.3732818281674647,0,COMPLETE
50,50,-0.44934866925853906,0.006147443335249621,2024-05-18 14:20:37.189006,2024-05-18 14:20:39.337112,0 days 00:00:02.148106,378,0.49093197066078587,1,COMPLETE
51,51,-2.1850363921794043,0.008543764091253063,2024-05-18 14:20:39.338110,2024-05-18 14:20:43.142523,0 days 00:00:03.804413,765,0.4004455373320944,1,COMPLETE
52,52,-0.5391494111603571,0.006368603190496915,2024-05-18 14:20:43.142523,2024-05-18 14:20:44.700887,0 days 00:00:01.558364,146,0.38485467982070565,1,COMPLETE
53,53,-0.9098029458604986,0.006888483679339965,2024-05-18 14:20:44.700887,2024-05-18 14:20:48.744774,0 days 00:00:04.043887,816,0.5334634907125606,1,COMPLETE
54,54,-0.47681707260125206,0.00622063804277123,2024-05-18 14:20:48.744774,2024-05-18 14:20:53.782137,0 days 00:00:05.037363,994,0.06195278710940644,1,COMPLETE
55,55,-0.6220333075527759,0.006397477567308412,2024-05-18 14:20:53.797757,2024-05-18 14:20:58.498855,0 days 00:00:04.701098,994,0.22525304824869896,1,COMPLETE
56,56,-1.4857352921105746,0.008500898703796719,2024-05-18 14:20:58.514476,2024-05-18 14:21:00.090569,0 days 00:00:01.576093,4,0.5325987885860738,1,COMPLETE
57,57,-0.2683872603313489,0.005758735210309911,2024-05-18 14:21:00.090569,2024-05-18 14:21:02.120819,0 days 00:00:02.030250,244,0.1897965120599433,1,COMPLETE
58,58,-0.5854854341829677,0.006366368960040146,2024-05-18 14:21:02.122814,2024-05-18 14:21:06.358622,0 days 00:00:04.235808,675,0.3150393675610824,1,COMPLETE
59,59,-0.9590463337064324,0.007071006797316533,2024-05-18 14:21:06.358622,2024-05-18 14:21:11.375772,0 days 00:00:05.017150,869,0.18256734443596623,1,COMPLETE
60,60,-0.46534245730186896,0.0061426498971662025,2024-05-18 14:21:11.377768,2024-05-18 14:21:15.997625,0 days 00:00:04.619857,859,0.003502905564865655,1,COMPLETE
61,61,-0.2928509478885425,0.005929042680922575,2024-05-18 14:21:15.997625,2024-05-18 14:21:20.974087,0 days 00:00:04.976462,994,0.03836464194036482,1,COMPLETE
62,62,-0.6194321053942347,0.00635057585674278,2024-05-18 14:21:20.977037,2024-05-18 14:21:25.226745,0 days 00:00:04.249708,756,0.48355820020741525,1,COMPLETE
63,63,-1.6693184697898509,0.008413842525397815,2024-05-18 14:21:25.226745,2024-05-18 14:21:28.257817,0 days 00:00:03.031072,503,0.29675967872466025,1,COMPLETE
64,64,-0.3898715311183835,0.006037809739173425,2024-05-18 14:21:28.257817,2024-05-18 14:21:31.124304,0 days 00:00:02.866487,378,0.7040366723392834,1,COMPLETE
65,65,-0.45387036940641473,0.006120211686049472,2024-05-18 14:21:31.124304,2024-05-18 14:21:34.968049,0 days 00:00:03.843745,685,0.7011063804237261,1,COMPLETE
66,66,-0.35232904596997466,0.005985519013093439,2024-05-18 14:21:34.968049,2024-05-18 14:21:36.870314,0 days 00:00:01.902265,199,0.2758632087197752,1,COMPLETE
67,67,-0.5693358473881908,0.00637083569187592,2024-05-18 14:21:36.872355,2024-05-18 14:21:39.643529,0 days 00:00:02.771174,602,0.6651026461018491,1,COMPLETE
68,68,-1.5398847005523504,0.008026091577126308,2024-05-18 14:21:39.643529,2024-05-18 14:21:44.289351,0 days 00:00:04.645822,903,0.8781894272036838,1,COMPLETE
69,69,-1.7712983278204444,0.008568141594335048,2024-05-18 14:21:44.289351,2024-05-18 14:21:46.288308,0 days 00:00:01.998957,140,0.624543233144857,1,COMPLETE
70,70,-0.481348577638563,0.006194988948328443,2024-05-18 14:21:46.288308,2024-05-18 14:21:49.062596,0 days 00:00:02.774288,491,0.8781894272036838,1,COMPLETE
71,71,-6.088836259235514,0.011442098019895203,2024-05-18 14:21:49.062596,2024-05-18 14:21:50.800347,0 days 00:00:01.737751,48,0.33656504549959676,1,COMPLETE
72,72,-0.4236545741982316,0.006071305225875982,2024-05-18 14:21:50.802365,2024-05-18 14:21:55.285901,0 days 00:00:04.483536,764,0.11771775250659611,1,COMPLETE
73,73,-1.4271585841516634,0.00761192914414343,2024-05-18 14:21:55.301523,2024-05-18 14:21:57.972163,0 days 00:00:02.670640,499,0.49093197066078587,1,COMPLETE
74,74,-0.70045382909413,0.00665364931682551,2024-05-18 14:21:57.972163,2024-05-18 14:22:00.269149,0 days 00:00:02.296986,388,0.6428448503713945,1,COMPLETE
75,75,-0.5323418200315768,0.0061994563304924935,2024-05-18 14:22:00.269149,2024-05-18 14:22:04.285656,0 days 00:00:04.016507,701,0.34453022727376603,1,COMPLETE
76,76,-0.8289077362137085,0.006602330327954896,2024-05-18 14:22:04.285656,2024-05-18 14:22:06.008671,0 days 00:00:01.723015,70,0.5614766682549956,1,COMPLETE
77,77,-0.43111955758114845,0.006132339951530086,2024-05-18 14:22:06.008671,2024-05-18 14:22:07.981022,0 days 00:00:01.972351,199,0.7087737942871889,1,COMPLETE
78,78,-0.9876395162932387,0.007103938452418608,2024-05-18 14:22:07.982019,2024-05-18 14:22:13.309195,0 days 00:00:05.327176,972,0.36125362899253166,1,COMPLETE
79,79,-0.5868297282071997,0.00631468449193434,2024-05-18 14:22:13.309195,2024-05-18 14:22:16.719110,0 days 00:00:03.409915,563,0.8960552745182939,1,COMPLETE
80,80,-1.501362541419633,0.008074278695931499,2024-05-18 14:22:16.734731,2024-05-18 14:22:19.822943,0 days 00:00:03.088212,508,0.330357000861347,1,COMPLETE
81,81,-0.3672628722751313,0.005959937109932152,2024-05-18 14:22:19.824303,2024-05-18 14:22:22.306212,0 days 00:00:02.481909,404,0.27379101105617243,1,COMPLETE
82,82,-17.022885837184845,0.017263566975864297,2024-05-18 14:22:22.307208,2024-05-18 14:22:23.905498,0 days 00:00:01.598290,20,0.5855424515326731,1,COMPLETE
83,83,-0.6362300580774594,0.006451469750561535,2024-05-18 14:22:23.905498,2024-05-18 14:22:26.246602,0 days 00:00:02.341104,355,0.7892846689940031,1,COMPLETE
84,84,-0.6143121595450544,0.0064846760817300255,2024-05-18 14:22:26.246602,2024-05-18 14:22:28.825751,0 days 00:00:02.579149,467,0.35480476886959755,1,COMPLETE
85,85,-0.32467389632980237,0.00589216568436334,2024-05-18 14:22:28.825751,2024-05-18 14:22:33.877635,0 days 00:00:05.051884,967,0.17260011238648731,1,COMPLETE
86,86,-0.5599468997166659,0.006323216831696494,2024-05-18 14:22:33.879654,2024-05-18 14:22:37.577363,0 days 00:00:03.697709,572,0.2918828983750009,1,COMPLETE
87,87,-0.6748939971046214,0.006541848073330123,2024-05-18 14:22:37.577363,2024-05-18 14:22:42.741592,0 days 00:00:05.164229,701,0.07983963995845722,1,COMPLETE
88,88,-0.5662544288306932,0.00634991861285495,2024-05-18 14:22:42.741592,2024-05-18 14:22:46.104049,0 days 00:00:03.362457,469,0.04378997593308853,1,COMPLETE
89,89,-8.409649454232639,0.01578104010380145,2024-05-18 14:22:46.104049,2024-05-18 14:22:48.879447,0 days 00:00:02.775398,545,0.07025231394946951,1,COMPLETE
