,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_rank,params_window_length,system_attrs_nsga2:generation,state
0,0,-1.2163209291759423,0.0076288778112660076,2024-05-18 11:57:42.912184,2024-05-18 11:57:51.254642,0 days 00:00:08.342458,207,126,272,0,COMPLETE
1,1,-1.0412253416174122,0.007175349090814601,2024-05-18 11:57:51.254642,2024-05-18 11:57:55.971608,0 days 00:00:04.716966,978,7,33,0,COMPLETE
2,2,-0.24971743127812918,0.00586804617389131,2024-05-18 11:57:55.971608,2024-05-18 11:58:03.333179,0 days 00:00:07.361571,238,94,242,0,COMPLETE
3,3,-1.5070952499156203,0.007877847563460912,2024-05-18 11:58:03.334177,2024-05-18 11:58:06.797961,0 days 00:00:03.463784,126,29,36,0,COMPLETE
4,4,-1.2810909271602948,0.007604101019182702,2024-05-18 11:58:06.798958,2024-05-18 11:58:17.892607,0 days 00:00:11.093649,790,132,297,0,COMPLETE
5,5,-0.5981350169895086,0.006397690757407658,2024-05-18 11:58:17.893604,2024-05-18 11:58:22.230167,0 days 00:00:04.336563,642,32,90,0,COMPLETE
6,6,-0.3751097099966191,0.005908991919663769,2024-05-18 11:58:22.232161,2024-05-18 11:58:29.249177,0 days 00:00:07.017016,957,69,92,0,COMPLETE
7,7,-1.525323131744813,0.00792321169468533,2024-05-18 11:58:29.251170,2024-05-18 11:58:32.145478,0 days 00:00:02.894308,70,36,46,0,COMPLETE
8,8,-1.6506460962803762,0.008308079329240041,2024-05-18 11:58:32.147471,2024-05-18 11:58:43.348071,0 days 00:00:11.200600,762,147,270,0,COMPLETE
9,9,-0.47224957892165326,0.006123386551005962,2024-05-18 11:58:43.348071,2024-05-18 11:58:54.084974,0 days 00:00:10.736903,793,125,135,0,COMPLETE
10,10,-0.5715600376072116,0.006496296982039551,2024-05-18 11:58:54.084974,2024-05-18 11:59:04.806337,0 days 00:00:10.721363,13,163,163,0,COMPLETE
11,11,-3.6682703598718307,0.009744690875180697,2024-05-18 11:59:04.806337,2024-05-18 11:59:06.972509,0 days 00:00:02.166172,45,2,6,0,COMPLETE
12,12,-0.39036209103358016,0.00596249665272316,2024-05-18 11:59:06.989371,2024-05-18 11:59:12.770277,0 days 00:00:05.780906,250,72,192,0,COMPLETE
13,13,-0.7069223386755301,0.006665778350164015,2024-05-18 11:59:12.770277,2024-05-18 11:59:15.376752,0 days 00:00:02.606475,394,2,141,0,COMPLETE
14,14,-0.6391756236135064,0.006403567410808586,2024-05-18 11:59:15.376752,2024-05-18 11:59:49.406489,0 days 00:00:34.029737,95,267,293,0,COMPLETE
15,15,-1.0306834346529044,0.0071200597965876715,2024-05-18 11:59:49.422110,2024-05-18 12:00:01.155407,0 days 00:00:11.733297,716,123,267,0,COMPLETE
16,16,-0.6420549975750482,0.006538996451052594,2024-05-18 12:00:01.155407,2024-05-18 12:00:06.757241,0 days 00:00:05.601834,436,55,105,0,COMPLETE
17,17,-0.7367759603609043,0.006645204616800518,2024-05-18 12:00:06.757241,2024-05-18 12:00:11.099987,0 days 00:00:04.342746,523,14,234,0,COMPLETE
18,18,-1.2678921061999173,0.007606789154922751,2024-05-18 12:00:11.099987,2024-05-18 12:00:17.097349,0 days 00:00:05.997362,823,19,46,0,COMPLETE
19,19,-0.8365774553176977,0.006920365513713239,2024-05-18 12:00:17.097349,2024-05-18 12:00:23.079142,0 days 00:00:05.981793,768,9,42,0,COMPLETE
20,20,-0.48939442788957466,0.006180057962217202,2024-05-18 12:00:23.079142,2024-05-18 12:00:33.705652,0 days 00:00:10.626510,902,33,127,0,COMPLETE
21,21,-0.8187220961310011,0.006802211057433644,2024-05-18 12:00:33.705652,2024-05-18 12:00:54.191394,0 days 00:00:20.485742,324,152,176,0,COMPLETE
22,22,-0.5287724081801365,0.006306024555949627,2024-05-18 12:00:54.191394,2024-05-18 12:01:21.572960,0 days 00:00:27.381566,533,164,243,0,COMPLETE
23,23,-0.5296260238215519,0.0062690687364803654,2024-05-18 12:01:21.588581,2024-05-18 12:01:35.158647,0 days 00:00:13.570066,390,113,285,0,COMPLETE
24,24,-0.9934139357495052,0.0074221918204832454,2024-05-18 12:01:35.158647,2024-05-18 12:01:46.711446,0 days 00:00:11.552799,566,151,224,0,COMPLETE
25,25,-0.3265957832099479,0.00593341521474303,2024-05-18 12:01:46.711446,2024-05-18 12:01:52.276099,0 days 00:00:05.564653,250,39,158,0,COMPLETE
26,26,-0.6685987134008313,0.006412839956169786,2024-05-18 12:01:52.276099,2024-05-18 12:01:56.348759,0 days 00:00:04.072660,85,40,244,0,COMPLETE
27,27,-2.0201852064010546,0.008259653326586524,2024-05-18 12:01:56.348759,2024-05-18 12:02:00.551955,0 days 00:00:04.203196,447,28,296,0,COMPLETE
28,28,-0.5121773458526233,0.0062954954461869415,2024-05-18 12:02:00.551955,2024-05-18 12:02:09.269612,0 days 00:00:08.717657,559,118,264,0,COMPLETE
29,29,-0.5960685148056275,0.006336907919656786,2024-05-18 12:02:09.269612,2024-05-18 12:02:14.925496,0 days 00:00:05.655884,44,88,202,0,COMPLETE
30,30,-0.4546468913545397,0.006198998515380885,2024-05-18 12:02:14.925496,2024-05-18 12:02:20.196711,0 days 00:00:05.271215,713,22,215,0,COMPLETE
31,31,-0.6804983303165972,0.006484889657182251,2024-05-18 12:02:20.198706,2024-05-18 12:02:33.739473,0 days 00:00:13.540767,653,198,255,0,COMPLETE
32,32,-0.8265058629072717,0.00666288613516732,2024-05-18 12:02:33.739473,2024-05-18 12:02:45.495988,0 days 00:00:11.756515,941,151,264,0,COMPLETE
33,33,-0.7228110057119306,0.0066595383723225795,2024-05-18 12:02:45.495988,2024-05-18 12:02:56.960511,0 days 00:00:11.464523,572,184,235,0,COMPLETE
34,34,-0.4051770917137009,0.005995701732279529,2024-05-18 12:02:56.962506,2024-05-18 12:03:05.433326,0 days 00:00:08.470820,575,123,239,0,COMPLETE
35,35,-0.40491314089149866,0.005944678556727091,2024-05-18 12:03:05.433326,2024-05-18 12:03:12.675880,0 days 00:00:07.242554,341,117,145,0,COMPLETE
36,36,-0.5683307617094057,0.006437035075117571,2024-05-18 12:03:12.675880,2024-05-18 12:03:17.389415,0 days 00:00:04.713535,729,20,131,0,COMPLETE
37,37,-1.1430848450331066,0.007512618151422246,2024-05-18 12:03:17.405037,2024-05-18 12:03:21.271053,0 days 00:00:03.866016,86,52,126,0,COMPLETE
38,38,-0.33168928335384984,0.005846394512201997,2024-05-18 12:03:21.271053,2024-05-18 12:03:24.363540,0 days 00:00:03.092487,341,25,51,0,COMPLETE
39,39,-0.6351971776510957,0.0064877160523221095,2024-05-18 12:03:24.363540,2024-05-18 12:03:34.463998,0 days 00:00:10.100458,265,172,227,0,COMPLETE
40,40,-0.7857049146751877,0.00684407426541542,2024-05-18 12:03:34.463998,2024-05-18 12:03:42.241432,0 days 00:00:07.777434,854,84,124,0,COMPLETE
41,41,-0.6763656639456206,0.006654454379436686,2024-05-18 12:03:42.241432,2024-05-18 12:03:46.896124,0 days 00:00:04.654692,161,73,86,0,COMPLETE
42,42,-1.1273760716543109,0.007462359588247811,2024-05-18 12:03:46.896124,2024-05-18 12:03:58.537993,0 days 00:00:11.641869,441,189,263,0,COMPLETE
43,43,-0.6477098859419644,0.006566532227680196,2024-05-18 12:03:58.537993,2024-05-18 12:04:03.845460,0 days 00:00:05.307467,998,11,43,0,COMPLETE
44,44,-0.46507215825994874,0.006203076518552582,2024-05-18 12:04:03.845460,2024-05-18 12:04:07.292320,0 days 00:00:03.446860,584,17,26,0,COMPLETE
45,45,-1.0470318062195219,0.007186407190902242,2024-05-18 12:04:07.294316,2024-05-18 12:04:12.017153,0 days 00:00:04.722837,715,19,107,0,COMPLETE
46,46,-0.9707232440832095,0.0070235755693402345,2024-05-18 12:04:12.019148,2024-05-18 12:04:24.904156,0 days 00:00:12.885008,747,199,201,0,COMPLETE
47,47,-0.600279805026904,0.006425024164186903,2024-05-18 12:04:24.906151,2024-05-18 12:04:30.377546,0 days 00:00:05.471395,592,67,81,0,COMPLETE
48,48,-0.7678211305990227,0.006784469470093946,2024-05-18 12:04:30.379616,2024-05-18 12:04:42.470270,0 days 00:00:12.090654,512,207,212,0,COMPLETE
49,49,-0.3713108702451548,0.006046288856781247,2024-05-18 12:04:42.470270,2024-05-18 12:04:47.396727,0 days 00:00:04.926457,766,9,19,0,COMPLETE
50,50,-88.63125048761073,0.030918805042795455,2024-05-18 12:04:47.412349,2024-05-18 12:04:50.279333,0 days 00:00:02.866984,17,25,212,1,COMPLETE
51,51,-0.9380053285933807,0.007038834668854499,2024-05-18 12:04:50.279333,2024-05-18 12:04:56.323595,0 days 00:00:06.044262,982,20,141,1,COMPLETE
52,52,-0.5232484616803527,0.0063453259659557865,2024-05-18 12:04:56.339217,2024-05-18 12:05:01.350953,0 days 00:00:05.011736,713,29,89,1,COMPLETE
53,53,-0.9712101479416682,0.007066771015275565,2024-05-18 12:05:01.350953,2024-05-18 12:05:07.350683,0 days 00:00:05.999730,559,67,264,1,COMPLETE
54,54,-0.5771578516730255,0.006476915493910632,2024-05-18 12:05:07.369000,2024-05-18 12:05:19.369584,0 days 00:00:12.000584,790,156,290,1,COMPLETE
55,55,-2.308638932992628,0.008978763370527434,2024-05-18 12:05:19.369584,2024-05-18 12:05:30.423607,0 days 00:00:11.054023,533,178,243,1,COMPLETE
56,56,-0.5668053909660854,0.006414777976371069,2024-05-18 12:05:30.423607,2024-05-18 12:05:36.197349,0 days 00:00:05.773742,318,79,224,1,COMPLETE
57,57,-0.7778062234117866,0.006706537937113621,2024-05-18 12:05:36.197349,2024-05-18 12:05:40.852627,0 days 00:00:04.655278,486,53,117,1,COMPLETE
58,58,-0.8658993896733836,0.006971275247080522,2024-05-18 12:05:40.852627,2024-05-18 12:05:49.165232,0 days 00:00:08.312605,250,143,202,1,COMPLETE
59,59,-0.4066644853322268,0.005973090902729779,2024-05-18 12:05:49.165232,2024-05-18 12:05:56.958663,0 days 00:00:07.793431,527,112,204,1,COMPLETE
60,60,-0.454368912416958,0.006120953218855906,2024-05-18 12:05:56.958663,2024-05-18 12:06:09.032485,0 days 00:00:12.073822,957,161,215,1,COMPLETE
61,61,-0.6594690184563528,0.006514699512506271,2024-05-18 12:06:09.032485,2024-05-18 12:06:17.014335,0 days 00:00:07.981850,776,101,105,1,COMPLETE
62,62,-1.5344050423027165,0.007746500609044246,2024-05-18 12:06:17.014335,2024-05-18 12:06:27.213049,0 days 00:00:10.198714,978,111,255,1,COMPLETE
63,63,-2.3368135660699707,0.009123417645332263,2024-05-18 12:06:27.213049,2024-05-18 12:06:32.100723,0 days 00:00:04.887674,998,2,43,1,COMPLETE
64,64,-0.7346298396550817,0.00676668214424887,2024-05-18 12:06:32.116621,2024-05-18 12:06:37.879300,0 days 00:00:05.762679,656,51,141,1,COMPLETE
65,65,-3.142738234132846,0.009376909522374252,2024-05-18 12:06:37.879300,2024-05-18 12:06:52.503923,0 days 00:00:14.624623,735,227,243,1,COMPLETE
66,66,-1.1412589982787111,0.00753492072891433,2024-05-18 12:06:52.503923,2024-05-18 12:07:02.348512,0 days 00:00:09.844589,95,151,293,1,COMPLETE
67,67,-0.2618049452550646,0.005658817356262095,2024-05-18 12:07:02.350466,2024-05-18 12:07:19.034910,0 days 00:00:16.684444,958,208,244,1,COMPLETE
68,68,-0.2987524815295969,0.0057049743105075145,2024-05-18 12:07:19.050530,2024-05-18 12:07:23.700420,0 days 00:00:04.649890,993,7,11,1,COMPLETE
69,69,-0.4771663336744806,0.006206769544016571,2024-05-18 12:07:23.722131,2024-05-18 12:07:28.297487,0 days 00:00:04.575356,126,60,235,1,COMPLETE
70,70,-0.614885617112004,0.00633282020953751,2024-05-18 12:07:28.297487,2024-05-18 12:07:33.476767,0 days 00:00:05.179280,653,40,138,1,COMPLETE
71,71,-0.5236128826895097,0.006286498741445703,2024-05-18 12:07:33.476767,2024-05-18 12:07:37.227462,0 days 00:00:03.750695,426,37,59,1,COMPLETE
72,72,-0.9189505369583447,0.006950051723549534,2024-05-18 12:07:37.227462,2024-05-18 12:07:51.407329,0 days 00:00:14.179867,458,230,295,1,COMPLETE
73,73,-0.47649401107829553,0.006133812932913247,2024-05-18 12:07:51.407329,2024-05-18 12:07:57.597227,0 days 00:00:06.189898,651,65,90,1,COMPLETE
74,74,-1.713683781854274,0.008643430091605939,2024-05-18 12:07:57.597227,2024-05-18 12:08:05.749729,0 days 00:00:08.152502,86,108,241,1,COMPLETE
75,75,-0.9175269284390579,0.00698408211920513,2024-05-18 12:08:05.749729,2024-05-18 12:08:07.692285,0 days 00:00:01.942556,95,4,23,1,COMPLETE
76,76,-1.0643089729923818,0.007254849758126303,2024-05-18 12:08:07.692285,2024-05-18 12:08:17.239891,0 days 00:00:09.547606,250,178,186,1,COMPLETE
77,77,-1.1159387327433243,0.0074400484658714,2024-05-18 12:08:17.239891,2024-05-18 12:08:22.750402,0 days 00:00:05.510511,316,89,115,1,COMPLETE
78,78,-0.8920104990651311,0.007008617960175096,2024-05-18 12:08:22.750402,2024-05-18 12:08:33.876840,0 days 00:00:11.126438,327,191,285,1,COMPLETE
79,79,-1.9518973746777124,0.008503504069487609,2024-05-18 12:08:33.892460,2024-05-18 12:08:38.096735,0 days 00:00:04.204275,713,10,215,1,COMPLETE
80,80,-0.44974182273613844,0.006079130158255857,2024-05-18 12:08:38.112356,2024-05-18 12:08:47.983122,0 days 00:00:09.870766,642,158,215,1,COMPLETE
81,81,-0.87491209720491,0.007059954201968155,2024-05-18 12:08:47.983122,2024-05-18 12:09:02.591862,0 days 00:00:14.608740,575,203,270,1,COMPLETE
82,82,-0.6515103047466454,0.006489211178583312,2024-05-18 12:09:02.613407,2024-05-18 12:09:05.592938,0 days 00:00:02.979531,584,6,26,1,COMPLETE
83,83,-0.7318872506608224,0.0066447622273780385,2024-05-18 12:09:05.592938,2024-05-18 12:09:11.004125,0 days 00:00:05.411187,983,18,166,1,COMPLETE
84,84,-0.5310088763320411,0.006282541944111872,2024-05-18 12:09:11.004125,2024-05-18 12:09:17.063972,0 days 00:00:06.059847,575,84,156,1,COMPLETE
85,85,-0.5665547123916259,0.006474521488918023,2024-05-18 12:09:17.063972,2024-05-18 12:09:27.637729,0 days 00:00:10.573757,467,164,293,1,COMPLETE
86,86,-0.5489126730179391,0.006315261904590105,2024-05-18 12:09:27.637729,2024-05-18 12:09:41.911220,0 days 00:00:14.273491,183,257,264,1,COMPLETE
87,87,-0.41374209611878915,0.006090068015273446,2024-05-18 12:09:41.911220,2024-05-18 12:09:48.551116,0 days 00:00:06.639896,422,91,202,1,COMPLETE
88,88,-0.26351633556884485,0.0056668619261168104,2024-05-18 12:09:48.551116,2024-05-18 12:10:11.473913,0 days 00:00:22.922797,790,269,297,1,COMPLETE
89,89,-0.9539663760644856,0.007063419160638346,2024-05-18 12:10:11.473913,2024-05-18 12:10:20.635803,0 days 00:00:09.161890,843,117,135,1,COMPLETE
90,90,-1.1301240661309189,0.007271447539250871,2024-05-18 12:10:20.635803,2024-05-18 12:10:24.070687,0 days 00:00:03.434884,592,18,19,1,COMPLETE
91,91,-1.4815630165174305,0.007856453751580473,2024-05-18 12:10:24.070687,2024-05-18 12:10:35.016042,0 days 00:00:10.945355,602,171,227,1,COMPLETE
92,92,-0.5793926391102799,0.00635809580006458,2024-05-18 12:10:35.016042,2024-05-18 12:10:47.303653,0 days 00:00:12.287611,713,185,214,1,COMPLETE
93,93,-0.36436182936131084,0.005924191175780501,2024-05-18 12:10:47.303653,2024-05-18 12:10:50.574643,0 days 00:00:03.270990,651,3,20,1,COMPLETE
94,94,-0.3463740075115178,0.005819634756951786,2024-05-18 12:10:50.590263,2024-05-18 12:10:55.378238,0 days 00:00:04.787975,436,46,272,1,COMPLETE
95,95,-0.4578708225225049,0.006078400807213021,2024-05-18 12:10:55.393865,2024-05-18 12:10:59.346351,0 days 00:00:03.952486,158,52,122,1,COMPLETE
96,96,-0.4287615378732708,0.00601365408465725,2024-05-18 12:10:59.346351,2024-05-18 12:11:06.560369,0 days 00:00:07.214018,766,67,239,1,COMPLETE
97,97,-1.1823740501935902,0.007221995933337925,2024-05-18 12:11:06.560369,2024-05-18 12:11:19.352635,0 days 00:00:12.792266,265,225,227,1,COMPLETE
98,98,-0.9150832592935048,0.006901635655830128,2024-05-18 12:11:19.352635,2024-05-18 12:11:24.307699,0 days 00:00:04.955064,999,6,108,1,COMPLETE
99,99,-1.472607700684132,0.00816597265755295,2024-05-18 12:11:24.307699,2024-05-18 12:11:35.522501,0 days 00:00:11.214802,957,153,159,1,COMPLETE
100,100,-1.5914721255727438,0.00793698780570505,2024-05-18 12:11:35.522501,2024-05-18 12:11:40.193318,0 days 00:00:04.670817,713,24,75,2,COMPLETE
101,101,-0.6587526178864691,0.0065135420672016,2024-05-18 12:11:40.193318,2024-05-18 12:11:48.095152,0 days 00:00:07.901834,871,71,289,2,COMPLETE
102,102,-0.7469661896923194,0.006722931982243985,2024-05-18 12:11:48.110774,2024-05-18 12:11:53.806983,0 days 00:00:05.696209,739,17,74,2,COMPLETE
103,103,-1.1567829038019468,0.007360566633145368,2024-05-18 12:11:53.806983,2024-05-18 12:12:02.042997,0 days 00:00:08.236014,527,117,218,2,COMPLETE
104,104,-1.0526383182701233,0.007195428012398005,2024-05-18 12:12:02.042997,2024-05-18 12:12:06.675941,0 days 00:00:04.632944,793,9,20,2,COMPLETE
105,105,-0.3316814633643671,0.00594278787306154,2024-05-18 12:12:06.675941,2024-05-18 12:12:09.694933,0 days 00:00:03.018992,405,16,89,2,COMPLETE
106,106,-1.0484892062338473,0.007229123403549628,2024-05-18 12:12:09.694933,2024-05-18 12:12:14.006480,0 days 00:00:04.311547,533,39,122,2,COMPLETE
107,107,-0.9873469293948769,0.007045611178630615,2024-05-18 12:12:14.006480,2024-05-18 12:12:16.177390,0 days 00:00:02.170910,230,5,19,2,COMPLETE
108,108,-0.6041943276132542,0.006484574208374169,2024-05-18 12:12:16.177390,2024-05-18 12:12:26.987234,0 days 00:00:10.809844,238,186,242,2,COMPLETE
109,109,-0.420643670575199,0.006022130865583094,2024-05-18 12:12:26.990226,2024-05-18 12:12:30.327428,0 days 00:00:03.337202,651,11,11,2,COMPLETE
110,110,-0.7450217295035699,0.006642747007951209,2024-05-18 12:12:30.327428,2024-05-18 12:12:35.965467,0 days 00:00:05.638039,318,88,126,2,COMPLETE
111,111,-2.89009003439958,0.010015858867830633,2024-05-18 12:12:35.965467,2024-05-18 12:12:37.981227,0 days 00:00:02.015760,39,9,59,2,COMPLETE
112,112,-0.5228961535676923,0.00624273775375807,2024-05-18 12:12:37.981227,2024-05-18 12:12:44.528864,0 days 00:00:06.547637,321,95,215,2,COMPLETE
113,113,-1.3105142557646878,0.007689930921968316,2024-05-18 12:12:44.528864,2024-05-18 12:12:51.407050,0 days 00:00:06.878186,471,98,173,2,COMPLETE
114,114,-0.9948214605631274,0.007229201430445832,2024-05-18 12:12:51.407050,2024-05-18 12:12:54.140970,0 days 00:00:02.733920,183,23,45,2,COMPLETE
115,115,-0.8640756912030481,0.006897608212251195,2024-05-18 12:12:54.140970,2024-05-18 12:12:56.144034,0 days 00:00:02.003064,238,2,11,2,COMPLETE
116,116,-0.4831371551786242,0.006167739352990163,2024-05-18 12:12:56.144034,2024-05-18 12:13:01.272032,0 days 00:00:05.127998,713,31,89,2,COMPLETE
117,117,-0.9390144440024899,0.007174791602524695,2024-05-18 12:13:01.272032,2024-05-18 12:13:06.218811,0 days 00:00:04.946779,688,24,227,2,COMPLETE
118,118,-0.6413569960678805,0.006317925206234624,2024-05-18 12:13:06.234433,2024-05-18 12:13:10.503929,0 days 00:00:04.269496,250,59,85,2,COMPLETE
119,119,-2.1113993746732143,0.008379082680078696,2024-05-18 12:13:10.503929,2024-05-18 12:13:20.490032,0 days 00:00:09.986103,766,117,280,2,COMPLETE
120,120,-0.5351783675713129,0.0062797979704111535,2024-05-18 12:13:20.505653,2024-05-18 12:13:23.008176,0 days 00:00:02.502523,192,10,235,2,COMPLETE
121,121,-0.4249059821071894,0.006025167741181512,2024-05-18 12:13:23.008176,2024-05-18 12:13:30.690747,0 days 00:00:07.682571,987,72,87,2,COMPLETE
122,122,-0.537231696138963,0.006228172040407385,2024-05-18 12:13:30.690747,2024-05-18 12:13:46.512252,0 days 00:00:15.821505,958,237,244,2,COMPLETE
123,123,-0.8079597447097757,0.006653672736265379,2024-05-18 12:13:46.527873,2024-05-18 12:13:48.849235,0 days 00:00:02.321362,306,4,61,2,COMPLETE
124,124,-0.9832184959190183,0.007071157207476428,2024-05-18 12:13:48.849235,2024-05-18 12:13:53.542269,0 days 00:00:04.693034,40,72,157,2,COMPLETE
125,125,-0.9776520027905085,0.007145660391891083,2024-05-18 12:13:53.544264,2024-05-18 12:13:58.389806,0 days 00:00:04.845542,95,67,195,2,COMPLETE
126,126,-1.0801731448384408,0.0073951430576900375,2024-05-18 12:13:58.391863,2024-05-18 12:14:03.953248,0 days 00:00:05.561385,790,35,92,2,COMPLETE
127,127,-0.7496919015127724,0.006609229582328931,2024-05-18 12:14:03.955244,2024-05-18 12:14:13.441295,0 days 00:00:09.486051,993,99,258,2,COMPLETE
128,128,-0.5221214937001386,0.006359546309403832,2024-05-18 12:14:13.443290,2024-05-18 12:14:22.367981,0 days 00:00:08.924691,642,136,215,2,COMPLETE
129,129,-1.1608254314916144,0.007649754132900591,2024-05-18 12:14:22.369974,2024-05-18 12:14:25.585777,0 days 00:00:03.215803,341,29,51,2,COMPLETE
130,130,-0.42600649648314415,0.006101825974236044,2024-05-18 12:14:25.587772,2024-05-18 12:14:32.724066,0 days 00:00:07.136294,902,54,288,2,COMPLETE
131,131,-0.4767213269109716,0.006206010812803432,2024-05-18 12:14:32.726061,2024-05-18 12:14:35.832362,0 days 00:00:03.106301,621,8,59,2,COMPLETE
132,132,-0.7036443096893057,0.0066160979187955965,2024-05-18 12:14:35.833360,2024-05-18 12:14:41.410342,0 days 00:00:05.576982,729,33,235,2,COMPLETE
133,133,-0.1510456806783378,0.0055645370312175,2024-05-18 12:14:41.413332,2024-05-18 12:14:53.726876,0 days 00:00:12.313544,436,215,224,2,COMPLETE
134,134,-0.4088989499656086,0.006022671466870325,2024-05-18 12:14:53.728871,2024-05-18 12:15:00.026582,0 days 00:00:06.297711,238,94,219,2,COMPLETE
135,135,-0.4433411934299726,0.005921448692510662,2024-05-18 12:15:00.028576,2024-05-18 12:15:07.316247,0 days 00:00:07.287671,816,74,92,2,COMPLETE
136,136,-1.435900018822909,0.008193930632785198,2024-05-18 12:15:07.318239,2024-05-18 12:15:12.242891,0 days 00:00:04.924652,85,73,215,2,COMPLETE
137,137,-1.3463891064981206,0.0077935100947765425,2024-05-18 12:15:12.243889,2024-05-18 12:15:17.086532,0 days 00:00:04.842643,957,4,7,2,COMPLETE
138,138,-0.3610247145676696,0.005860346478082634,2024-05-18 12:15:17.088525,2024-05-18 12:15:24.482900,0 days 00:00:07.394375,651,87,142,2,COMPLETE
139,139,-0.22895809060897093,0.0056875467596789854,2024-05-18 12:15:24.484959,2024-05-18 12:15:28.661882,0 days 00:00:04.176923,651,26,264,2,COMPLETE
140,140,-12.044864818265658,0.01516852988608065,2024-05-18 12:15:28.663875,2024-05-18 12:15:38.936819,0 days 00:00:10.272944,11,187,217,2,COMPLETE
141,141,-82.75886980494707,0.025246543069738524,2024-05-18 12:15:38.938812,2024-05-18 12:15:49.197932,0 days 00:00:10.259120,17,183,250,2,COMPLETE
142,142,-0.3634900563643065,0.005908453609803104,2024-05-18 12:15:49.199444,2024-05-18 12:15:53.023994,0 days 00:00:03.824550,525,29,56,2,COMPLETE
143,143,-0.5361553903246682,0.0062503004417782,2024-05-18 12:15:53.024992,2024-05-18 12:15:55.809671,0 days 00:00:02.784679,584,3,26,2,COMPLETE
144,144,-0.5863993964508365,0.00635194813170215,2024-05-18 12:15:55.811664,2024-05-18 12:15:58.099225,0 days 00:00:02.287561,126,7,235,2,COMPLETE
145,145,-0.32292744564764747,0.005861199652119339,2024-05-18 12:15:58.101219,2024-05-18 12:16:09.519799,0 days 00:00:11.418580,448,182,285,2,COMPLETE
146,146,-0.896575554998366,0.006989811509886297,2024-05-18 12:16:09.522792,2024-05-18 12:16:11.513333,0 days 00:00:01.990541,84,6,90,2,COMPLETE
147,147,-1.1104852560019354,0.007279992420379895,2024-05-18 12:16:11.514330,2024-05-18 12:16:13.953009,0 days 00:00:02.438679,95,22,52,2,COMPLETE
