,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_window_length,system_attrs_nsga2:generation,state
33,33,-0.4878034203978858,0.1210273762365377,2024-05-10 16:37:27.953370,2024-05-10 16:37:32.475799,0 days 00:00:04.522429,5,43,0,COMPLETE
34,34,-1.3519034289452068,0.17694078589845857,2024-05-10 16:37:32.479438,2024-05-10 16:37:37.339315,0 days 00:00:04.859877,97,149,0,COMPLETE
35,35,-1.4250354105124248,0.17042822201157212,2024-05-10 16:37:37.344750,2024-05-10 16:37:43.080804,0 days 00:00:05.736054,50,59,0,COMPLETE
36,36,-0.3996682473316921,0.13408338767575162,2024-05-10 16:37:43.080804,2024-05-10 16:37:51.439825,0 days 00:00:08.359021,56,134,0,COMPLETE
37,37,-0.8593747536749984,0.16290791801159626,2024-05-10 16:37:51.443886,2024-05-10 16:38:00.756273,0 days 00:00:09.312387,78,37,0,COMPLETE
38,38,-0.4983268917640554,0.13322341503898508,2024-05-10 16:38:00.761697,2024-05-10 16:38:08.871434,0 days 00:00:08.109737,32,89,0,COMPLETE
39,39,-1.3985802515362937,0.18873344908111306,2024-05-10 16:38:08.871434,2024-05-10 16:38:11.203747,0 days 00:00:02.332313,87,139,0,COMPLETE
40,40,-1.330885497683025,0.18204276237286587,2024-05-10 16:38:11.206958,2024-05-10 16:38:17.648693,0 days 00:00:06.441735,97,44,0,COMPLETE
41,41,-1.4348484296650386,0.1925711319902853,2024-05-10 16:38:17.653283,2024-05-10 16:38:25.248867,0 days 00:00:07.595584,87,120,0,COMPLETE
42,42,-1.2696546165919607,0.1795262625975193,2024-05-10 16:38:25.253945,2024-05-10 16:38:29.295139,0 days 00:00:04.041194,40,182,0,COMPLETE
43,43,-0.524162177710131,0.14012021877831476,2024-05-10 16:38:29.299097,2024-05-10 16:38:31.839004,0 days 00:00:02.539907,19,155,0,COMPLETE
44,44,-1.8889156595550247,0.2078602014075152,2024-05-10 16:38:31.842992,2024-05-10 16:38:38.223675,0 days 00:00:06.380683,92,202,0,COMPLETE
45,45,-1.094838674648114,0.16888797602492717,2024-05-10 16:38:38.227664,2024-05-10 16:38:43.838237,0 days 00:00:05.610573,41,86,0,COMPLETE
46,46,-0.979869891081551,0.16307863307893145,2024-05-10 16:38:43.844105,2024-05-10 16:38:52.269082,0 days 00:00:08.424977,83,195,0,COMPLETE
47,47,-1.0100920173903272,0.16425219876022892,2024-05-10 16:38:52.273036,2024-05-10 16:38:58.443703,0 days 00:00:06.170667,84,4,0,COMPLETE
48,48,-0.7615942549682836,0.1585083655217103,2024-05-10 16:38:58.447695,2024-05-10 16:39:05.487249,0 days 00:00:07.039554,99,142,0,COMPLETE
49,49,-1.4620187449293287,0.1769581692394118,2024-05-10 16:39:05.491279,2024-05-10 16:39:16.755887,0 days 00:00:11.264608,43,89,0,COMPLETE
50,50,-0.5578106525649508,0.1513486348684196,2024-05-10 16:39:16.755887,2024-05-10 16:39:24.236872,0 days 00:00:07.480985,41,14,1,COMPLETE
51,51,-2.6644906298081414,0.21209548730441946,2024-05-10 16:39:24.252395,2024-05-10 16:39:30.482695,0 days 00:00:06.230300,34,23,1,COMPLETE
52,52,-0.32838147674326335,0.13161903592399565,2024-05-10 16:39:30.486703,2024-05-10 16:39:40.145497,0 days 00:00:09.658794,85,5,1,COMPLETE
53,53,-1.6326861128913308,0.191073474288448,2024-05-10 16:39:40.145497,2024-05-10 16:39:44.994410,0 days 00:00:04.848913,73,134,1,COMPLETE
54,54,-2.0332593172065088,0.2149266517162732,2024-05-10 16:39:44.994410,2024-05-10 16:39:46.277341,0 days 00:00:01.282931,32,99,1,COMPLETE
55,55,-0.7924266120151703,0.16443354998558893,2024-05-10 16:39:46.279924,2024-05-10 16:39:52.440048,0 days 00:00:06.160124,87,144,1,COMPLETE
56,56,-2.081828555787195,0.209427079132568,2024-05-10 16:39:52.440048,2024-05-10 16:39:54.639079,0 days 00:00:02.199031,31,166,1,COMPLETE
57,57,-1.1333964756352135,0.16573454507442367,2024-05-10 16:39:54.639079,2024-05-10 16:40:05.367570,0 days 00:00:10.728491,51,149,1,COMPLETE
58,58,-0.6917744336822691,0.15875622268116768,2024-05-10 16:40:05.367570,2024-05-10 16:40:06.766025,0 days 00:00:01.398455,21,134,1,COMPLETE
59,59,-1.4729303814638972,0.1829369155754473,2024-05-10 16:40:06.767054,2024-05-10 16:40:12.698425,0 days 00:00:05.931371,83,116,1,COMPLETE
60,60,-0.25672233841496517,0.115373290466917,2024-05-10 16:40:12.698425,2024-05-10 16:40:13.681617,0 days 00:00:00.983192,3,158,1,COMPLETE
61,61,-1.3769374834124906,0.17869750984369628,2024-05-10 16:40:13.681617,2024-05-10 16:40:18.695040,0 days 00:00:05.013423,97,95,1,COMPLETE
62,62,-0.6513048963234971,0.15390363079565458,2024-05-10 16:40:18.710695,2024-05-10 16:40:28.191596,0 days 00:00:09.480901,88,11,1,COMPLETE
63,63,-0.9330648993669348,0.17479395731602718,2024-05-10 16:40:28.198081,2024-05-10 16:40:29.355923,0 days 00:00:01.157842,24,35,1,COMPLETE
64,64,-0.5900088572012956,0.13563761449367362,2024-05-10 16:40:29.356956,2024-05-10 16:40:34.657141,0 days 00:00:05.300185,8,149,1,COMPLETE
65,65,-0.10834483188381334,0.12107085544501472,2024-05-10 16:40:34.660134,2024-05-10 16:40:42.287697,0 days 00:00:07.627563,99,5,1,COMPLETE
66,66,-1.9101493967056886,0.18474274681065184,2024-05-10 16:40:42.294841,2024-05-10 16:40:43.897476,0 days 00:00:01.602635,13,93,1,COMPLETE
67,67,-1.7328240398455677,0.17956173264601277,2024-05-10 16:40:43.901101,2024-05-10 16:40:48.595715,0 days 00:00:04.694614,41,131,1,COMPLETE
68,68,-1.1274613394167377,0.17363778388196083,2024-05-10 16:40:48.598788,2024-05-10 16:40:54.245557,0 days 00:00:05.646769,78,22,1,COMPLETE
69,69,-2.6768463204668,0.22328644386410534,2024-05-10 16:40:54.250542,2024-05-10 16:41:01.031765,0 days 00:00:06.781223,84,179,1,COMPLETE
70,70,-1.0374554329218824,0.16339464783658025,2024-05-10 16:41:01.038745,2024-05-10 16:41:11.102413,0 days 00:00:10.063668,26,29,1,COMPLETE
71,71,-2.009586600960765,0.20459559632036628,2024-05-10 16:41:11.106858,2024-05-10 16:41:14.537968,0 days 00:00:03.431110,36,89,1,COMPLETE
72,72,-1.63122875868732,0.18394813386056863,2024-05-10 16:41:14.537968,2024-05-10 16:41:20.222174,0 days 00:00:05.684206,69,103,1,COMPLETE
73,73,-0.8434211880723719,0.16267374839290544,2024-05-10 16:41:20.223170,2024-05-10 16:41:22.712336,0 days 00:00:02.489166,27,104,1,COMPLETE
