,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,system_attrs_nsga2:generation,state
0,0,-7889.786104940945,0.0009895493930220103,2024-05-18 07:54:56.571585,2024-05-18 07:55:04.356251,0 days 00:00:07.784666,384,0.05538552845503075,0.981867257860193,0,COMPLETE
1,1,-24.00966656943761,0.00010181916016455624,2024-05-18 07:55:04.356251,2024-05-18 07:55:11.618744,0 days 00:00:07.262493,105,0.9363804098305659,0.2914112337752811,0,COMPLETE
2,2,-1214698.7607165638,0.01144505880349296,2024-05-18 07:55:11.636285,2024-05-18 07:55:24.997336,0 days 00:00:13.361051,737,0.22979142893814486,0.8143120923796306,0,COMPLETE
3,3,-47270.806796539735,0.002797842219810617,2024-05-18 07:55:24.997336,2024-05-18 07:55:39.490714,0 days 00:00:14.493378,971,0.112233588569572,0.33516151903039837,0,COMPLETE
4,4,-172.32908511269784,0.0002504715091477611,2024-05-18 07:55:39.498798,2024-05-18 07:55:51.710056,0 days 00:00:12.211258,724,0.7004597471519919,0.11577494590290205,0,COMPLETE
5,5,-3001.3041399553404,0.0006141788971793336,2024-05-18 07:55:51.716874,2024-05-18 07:55:59.601959,0 days 00:00:07.885085,428,0.11773174682895915,0.656142051230044,0,COMPLETE
6,6,-288.1673246552849,0.00035341676396916674,2024-05-18 07:55:59.601959,2024-05-18 07:56:15.240671,0 days 00:00:15.638712,920,0.5849036867772174,0.38943214639878176,0,COMPLETE
7,7,-497.96004957314665,0.0004091195854650963,2024-05-18 07:56:15.242664,2024-05-18 07:56:30.518247,0 days 00:00:15.275583,958,0.6003592546109267,0.9453583102748336,0,COMPLETE
8,8,-20156.9829992773,0.001831260524936799,2024-05-18 07:56:30.532700,2024-05-18 07:56:39.997381,0 days 00:00:09.464681,443,0.8754230892597833,0.31395550996624155,0,COMPLETE
9,9,-52.947458846786866,0.0001320588637548147,2024-05-18 07:56:40.014043,2024-05-18 07:56:46.511079,0 days 00:00:06.497036,117,0.3036829637603615,0.9109094240073727,0,COMPLETE
