,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,system_attrs_nsga2:generation,state
31,31,0.09273802386998457,0.11080530027785304,2024-05-16 07:22:34.172923,2024-05-16 07:22:36.982932,0 days 00:00:02.810009,65,0.29207474446242476,0,COMPLETE
32,32,-0.7188466944804492,0.15017014286119948,2024-05-16 07:22:36.988367,2024-05-16 07:22:39.412931,0 days 00:00:02.424564,62,0.9608586020551657,0,COMPLETE
33,33,-0.17155179322570469,0.12359158711826579,2024-05-16 07:22:39.416326,2024-05-16 07:22:41.845218,0 days 00:00:02.428892,44,0.13023813134409667,0,COMPLETE
34,34,0.258878396134605,0.10119020179159618,2024-05-16 07:22:41.847258,2024-05-16 07:22:44.392820,0 days 00:00:02.545562,71,0.8993982076620489,0,COMPLETE
35,35,-0.6962748565050744,0.14956200418240756,2024-05-16 07:22:44.399913,2024-05-16 07:22:48.154311,0 days 00:00:03.754398,29,0.47935672320808886,0,COMPLETE
36,36,0.09150158497620135,0.11283771401917679,2024-05-16 07:22:48.155263,2024-05-16 07:22:51.041126,0 days 00:00:02.885863,77,0.49950528559763596,0,COMPLETE
37,37,-0.31897145717394826,0.1364719434791909,2024-05-16 07:22:51.043345,2024-05-16 07:22:53.191629,0 days 00:00:02.148284,96,0.8946217044846099,0,COMPLETE
38,38,0.2798583917983957,0.10092820033021913,2024-05-16 07:22:53.197411,2024-05-16 07:22:58.639922,0 days 00:00:05.442511,71,0.8313217016697068,0,COMPLETE
39,39,-1.4058883470673287,0.18921644107078606,2024-05-16 07:22:58.642124,2024-05-16 07:23:00.419950,0 days 00:00:01.777826,48,0.019053790308725338,0,COMPLETE
40,40,-0.7934345998873436,0.15513332247922587,2024-05-16 07:23:00.420950,2024-05-16 07:23:01.601803,0 days 00:00:01.180853,66,0.12401859260875592,0,COMPLETE
41,41,-0.009834320913108697,0.11451114828117111,2024-05-16 07:23:01.608025,2024-05-16 07:23:05.797867,0 days 00:00:04.189842,39,0.355630327163997,0,COMPLETE
42,42,-0.9513168171263086,0.14992805422677993,2024-05-16 07:23:05.798864,2024-05-16 07:23:08.831992,0 days 00:00:03.033128,32,0.6824668433261173,0,COMPLETE
43,43,-0.09669779726426127,0.11896646556685002,2024-05-16 07:23:08.834394,2024-05-16 07:23:11.382753,0 days 00:00:02.548359,52,0.4059677410206354,0,COMPLETE
44,44,0.15786411183720123,0.10508260158557381,2024-05-16 07:23:11.385217,2024-05-16 07:23:13.271621,0 days 00:00:01.886404,15,0.8229562714927089,0,COMPLETE
45,45,-1.5881075048623456,0.19288960820708306,2024-05-16 07:23:13.277414,2024-05-16 07:23:14.467243,0 days 00:00:01.189829,25,0.41460807607578554,0,COMPLETE
46,46,0.06557022893649023,0.11185890920778288,2024-05-16 07:23:14.469057,2024-05-16 07:23:18.113089,0 days 00:00:03.644032,81,0.7988631722460279,0,COMPLETE
47,47,-0.7023367646700113,0.15447933391442126,2024-05-16 07:23:18.114354,2024-05-16 07:23:20.965870,0 days 00:00:02.851516,64,0.48292705210717657,0,COMPLETE
48,48,-0.393644720116871,0.14075827126026122,2024-05-16 07:23:20.966867,2024-05-16 07:23:25.862489,0 days 00:00:04.895622,94,0.07482645587116032,0,COMPLETE
49,49,0.3213809988382013,0.09480500919784846,2024-05-16 07:23:25.870593,2024-05-16 07:23:28.722131,0 days 00:00:02.851538,90,0.6910350479330608,0,COMPLETE
50,50,-0.5357360943373071,0.14402365382170484,2024-05-16 07:23:28.726667,2024-05-16 07:23:31.671717,0 days 00:00:02.945050,79,0.8313217016697068,1,COMPLETE
51,51,-0.26917130712075205,0.13098532925018747,2024-05-16 07:23:31.672714,2024-05-16 07:23:35.597336,0 days 00:00:03.924622,58,0.7393248020466527,1,COMPLETE
52,52,-1.4302314340854678,0.18366780962596554,2024-05-16 07:23:35.598710,2024-05-16 07:23:37.044168,0 days 00:00:01.445458,85,0.2604085114239536,1,COMPLETE
53,53,0.08784687831754363,0.1093721195124698,2024-05-16 07:23:37.046916,2024-05-16 07:23:40.102328,0 days 00:00:03.055412,47,0.5240512989128638,1,COMPLETE
54,54,-1.4495579809038435,0.19279851847149432,2024-05-16 07:23:40.109807,2024-05-16 07:23:41.787729,0 days 00:00:01.677922,59,0.034323536749073735,1,COMPLETE
