,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,system_attrs_nsga2:generation,state
32,32,-22.835897606653596,0.018218926096772028,2024-05-18 17:03:07.124678,2024-05-18 17:03:10.702093,0 days 00:00:03.577415,692,0.52456175984695,0.672359326771838,0,COMPLETE
33,33,-8.71997209076056,0.012635083143411153,2024-05-18 17:03:10.702093,2024-05-18 17:03:14.881789,0 days 00:00:04.179696,920,0.19039581016783003,0.43363277337068695,0,COMPLETE
34,34,-0.7635379094263467,0.006777777363700319,2024-05-18 17:03:14.881789,2024-05-18 17:03:17.308199,0 days 00:00:02.426410,553,0.10761787771646103,0.9677218145543681,0,COMPLETE
35,35,-1.0954805834818164,0.007325836058786367,2024-05-18 17:03:17.323814,2024-05-18 17:03:20.368972,0 days 00:00:03.045158,574,0.30468753850832364,0.9887584779638126,0,COMPLETE
36,36,-1.1771139641933501,0.007526766450081167,2024-05-18 17:03:20.368972,2024-05-18 17:03:22.140330,0 days 00:00:01.771358,83,0.33311243162322346,0.9560607337455062,0,COMPLETE
37,37,-0.2729961032128719,0.005774936022824408,2024-05-18 17:03:22.141377,2024-05-18 17:03:26.286572,0 days 00:00:04.145195,679,0.1286447614248163,0.3947185068047774,0,COMPLETE
38,38,-0.7759960848771658,0.006865486030210163,2024-05-18 17:03:26.286572,2024-05-18 17:03:30.670389,0 days 00:00:04.383817,777,0.31362618088107863,0.7258346605540001,0,COMPLETE
39,39,-1.053444941926878,0.007396628656146214,2024-05-18 17:03:30.680086,2024-05-18 17:03:32.803845,0 days 00:00:02.123759,228,0.6359708107168425,0.432520593922342,0,COMPLETE
40,40,-0.45568005393616706,0.006123941064154886,2024-05-18 17:03:32.803845,2024-05-18 17:03:37.516107,0 days 00:00:04.712262,859,0.536964049611274,0.6839503668883695,0,COMPLETE
41,41,-0.4498542782344742,0.006058485814429927,2024-05-18 17:03:37.527068,2024-05-18 17:03:42.582902,0 days 00:00:05.055834,873,0.03714141860103415,0.7571666721826962,0,COMPLETE
42,42,-0.3558690345813744,0.005893378225186935,2024-05-18 17:03:42.583916,2024-05-18 17:03:45.696068,0 days 00:00:03.112152,612,0.3289833145102581,0.7000598075042406,0,COMPLETE
43,43,-0.31895277298282015,0.00588303347548052,2024-05-18 17:03:45.696068,2024-05-18 17:03:50.338852,0 days 00:00:04.642784,724,0.0700636979466861,0.7232915514834799,0,COMPLETE
44,44,-0.40911440865126325,0.005990615045003489,2024-05-18 17:03:50.338852,2024-05-18 17:03:52.770964,0 days 00:00:02.432112,407,0.5355906172391094,0.8125902106079902,0,COMPLETE
45,45,-0.6790818989207021,0.0066335300523818405,2024-05-18 17:03:52.770964,2024-05-18 17:03:55.603082,0 days 00:00:02.832118,523,0.5123777599152304,0.5290957800308878,0,COMPLETE
46,46,-0.8462489798020405,0.0070220365864879074,2024-05-18 17:03:55.603082,2024-05-18 17:03:58.331932,0 days 00:00:02.728850,478,0.45165363142392556,0.9265250779091302,0,COMPLETE
47,47,-1.055361849509673,0.007313254541183739,2024-05-18 17:03:58.332955,2024-05-18 17:04:00.100974,0 days 00:00:01.768019,55,0.260294513723215,0.9765616167167438,0,COMPLETE
48,48,-0.7345404814341483,0.006647913420341383,2024-05-18 17:04:00.117728,2024-05-18 17:04:03.166594,0 days 00:00:03.048866,651,0.384961217983646,0.9418899684790605,0,COMPLETE
49,49,-0.6715122776579374,0.006573700683354859,2024-05-18 17:04:03.166594,2024-05-18 17:04:05.298819,0 days 00:00:02.132225,265,0.8986201057902558,0.24541209858918644,0,COMPLETE
50,50,-0.4764416114706198,0.00624854808750327,2024-05-18 17:04:05.298819,2024-05-18 17:04:07.997818,0 days 00:00:02.698999,448,0.9016349801114897,0.2912480994604083,1,COMPLETE
51,51,-51.31236041384248,0.025287876148905958,2024-05-18 17:04:08.013613,2024-05-18 17:04:13.212145,0 days 00:00:05.198532,922,0.5420331581264933,0.7249186449723967,1,COMPLETE
