,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,system_attrs_nsga2:generation,state
0,0,-19.445976747781177,9.201960114276746e-05,2024-05-16 15:47:59.084201,2024-05-16 15:48:02.093821,0 days 00:00:03.009620,256,0.5206441973802353,0,COMPLETE
1,1,-185020.98763178734,0.004605924980020797,2024-05-16 15:48:02.093821,2024-05-16 15:48:08.005473,0 days 00:00:05.911652,845,0.5168043844995462,0,COMPLETE
2,2,-163.94385812189083,0.0002557872116612164,2024-05-16 15:48:08.005473,2024-05-16 15:48:12.633653,0 days 00:00:04.628180,577,0.041884353688691145,0,COMPLETE
3,3,-12883.257769929758,0.0013342431889962329,2024-05-16 15:48:12.633653,2024-05-16 15:48:16.388615,0 days 00:00:03.754962,617,0.01041347297900952,0,COMPLETE
4,4,-340729.34596597584,0.00568165889704794,2024-05-16 15:48:16.388615,2024-05-16 15:48:20.970264,0 days 00:00:04.581649,505,0.5612538624200423,0,COMPLETE
5,5,-22.277106803815943,9.253765127772213e-05,2024-05-16 15:48:20.972258,2024-05-16 15:48:24.029647,0 days 00:00:03.057389,148,0.6621155127106326,0,COMPLETE
6,6,-477113.781793633,0.008818631151302384,2024-05-16 15:48:24.029647,2024-05-16 15:48:33.110039,0 days 00:00:09.080392,789,0.7207772560440928,0,COMPLETE
7,7,-112.36545120162323,0.000219245519692518,2024-05-16 15:48:33.113029,2024-05-16 15:48:39.232591,0 days 00:00:06.119562,452,0.9631583576009453,0,COMPLETE
8,8,-267.48248914400426,0.0003446144573254722,2024-05-16 15:48:39.234585,2024-05-16 15:48:47.632821,0 days 00:00:08.398236,925,0.9784318794251509,0,COMPLETE
9,9,-5177.785084604611,0.0011405482534159802,2024-05-16 15:48:47.633818,2024-05-16 15:48:52.164462,0 days 00:00:04.530644,594,0.9258265289183069,0,COMPLETE
10,10,-412.7026174181098,0.00037369469443640925,2024-05-16 15:48:52.166457,2024-05-16 15:48:56.933981,0 days 00:00:04.767524,545,0.9730200035074321,0,COMPLETE
11,11,-27.026971221248935,0.00010895799476197507,2024-05-16 15:48:56.933981,2024-05-16 15:48:59.528520,0 days 00:00:02.594539,112,0.8158218246609727,0,COMPLETE
12,12,-12.178367652385818,7.462591989268271e-05,2024-05-16 15:48:59.528520,2024-05-16 15:49:02.246658,0 days 00:00:02.718138,49,0.9809805027443259,0,COMPLETE
13,13,-263452.847432931,0.005781470301963586,2024-05-16 15:49:02.246658,2024-05-16 15:49:10.830667,0 days 00:00:08.584009,823,0.6160453888860608,0,COMPLETE
14,14,-8316.58688690803,0.0011758056693432065,2024-05-16 15:49:10.832989,2024-05-16 15:49:18.222136,0 days 00:00:07.389147,697,0.4354917170412872,0,COMPLETE
15,15,-38.58854888180735,0.00012911322157520923,2024-05-16 15:49:18.222136,2024-05-16 15:49:22.114160,0 days 00:00:03.892024,366,0.47133292590249565,0,COMPLETE
16,16,-14178.454526587835,0.0013468241158114218,2024-05-16 15:49:22.114160,2024-05-16 15:49:27.285741,0 days 00:00:05.171581,620,0.028687491985616043,0,COMPLETE
17,17,-32325.425796145522,0.002740193709073293,2024-05-16 15:49:27.285741,2024-05-16 15:49:35.281396,0 days 00:00:07.995655,974,0.2174878043501428,0,COMPLETE
18,18,-6597.970354599871,0.0012822653809612659,2024-05-16 15:49:35.281396,2024-05-16 15:49:39.339046,0 days 00:00:04.057650,650,0.3831376339035425,0,COMPLETE
19,19,-17.170141820463677,8.412724387203178e-05,2024-05-16 15:49:39.339046,2024-05-16 15:49:42.943347,0 days 00:00:03.604301,303,0.6565761244399522,0,COMPLETE
20,20,-1010.2770636859223,0.0005240743345577448,2024-05-16 15:49:42.946784,2024-05-16 15:49:50.640788,0 days 00:00:07.694004,882,0.718953030615564,0,COMPLETE
21,21,-194612.55557742043,0.004340171398707208,2024-05-16 15:49:50.640788,2024-05-16 15:49:57.335292,0 days 00:00:06.694504,677,0.4094800944665796,0,COMPLETE
22,22,-99089.37396994536,0.003176923037230478,2024-05-16 15:49:57.337287,2024-05-16 15:50:05.019535,0 days 00:00:07.682248,844,0.1705388588671135,0,COMPLETE
23,23,-16.667520081782165,8.605078870667647e-05,2024-05-16 15:50:05.019535,2024-05-16 15:50:08.636403,0 days 00:00:03.616868,221,0.5969862351433374,0,COMPLETE
