,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_window_length,system_attrs_nsga2:generation,state
0,0,-2.0114421836893768,0.008814461643236305,2024-05-18 10:48:26.202843,2024-05-18 10:48:27.515923,0 days 00:00:01.313080,10,23,0,COMPLETE
1,1,-1.8421627829196914,0.008554629273570206,2024-05-18 10:48:27.515923,2024-05-18 10:48:28.777765,0 days 00:00:01.261842,23,142,0,COMPLETE
2,2,-2.143438003220623,0.00897415189942877,2024-05-18 10:48:28.780991,2024-05-18 10:48:30.227964,0 days 00:00:01.446973,89,122,0,COMPLETE
3,3,-3.4308912603463497,0.009908688018958695,2024-05-18 10:48:30.227964,2024-05-18 10:48:31.681077,0 days 00:00:01.453113,44,100,0,COMPLETE
4,4,-1.4034017336538493,0.008130111079998554,2024-05-18 10:48:31.681077,2024-05-18 10:48:33.194105,0 days 00:00:01.513028,36,62,0,COMPLETE
5,5,-1.744173984618394,0.008209293843536938,2024-05-18 10:48:33.194105,2024-05-18 10:48:34.624308,0 days 00:00:01.430203,44,163,0,COMPLETE
6,6,-3.132560536017757,0.009661097331610346,2024-05-18 10:48:34.639931,2024-05-18 10:48:36.112609,0 days 00:00:01.472678,53,6,0,COMPLETE
7,7,-2.271231501604256,0.008998707935439639,2024-05-18 10:48:36.112609,2024-05-18 10:48:37.587825,0 days 00:00:01.475216,60,179,0,COMPLETE
8,8,-1.5440274236936358,0.007760810276194016,2024-05-18 10:48:37.589694,2024-05-18 10:48:38.934523,0 days 00:00:01.344829,21,47,0,COMPLETE
9,9,-1.2663733067290908,0.0077487811327969155,2024-05-18 10:48:38.934523,2024-05-18 10:48:40.374379,0 days 00:00:01.439856,56,66,0,COMPLETE
10,10,-1.6866543865614436,0.008428631461341467,2024-05-18 10:48:40.374379,2024-05-18 10:48:41.708605,0 days 00:00:01.334226,32,30,0,COMPLETE
11,11,-2.007304773079867,0.008719324668445893,2024-05-18 10:48:41.709624,2024-05-18 10:48:43.214881,0 days 00:00:01.505257,86,46,0,COMPLETE
12,12,-2.4346456669532133,0.009831990687404688,2024-05-18 10:48:43.214881,2024-05-18 10:48:44.604381,0 days 00:00:01.389500,20,189,0,COMPLETE
13,13,-1.4638606719542409,0.007805620382358274,2024-05-18 10:48:44.604381,2024-05-18 10:48:46.132345,0 days 00:00:01.527964,78,177,0,COMPLETE
14,14,-1.3947819121610951,0.007946115415037435,2024-05-18 10:48:46.132345,2024-05-18 10:48:47.502494,0 days 00:00:01.370149,64,90,0,COMPLETE
15,15,-1.0583134732629724,0.007042620523679837,2024-05-18 10:48:47.502494,2024-05-18 10:48:48.900411,0 days 00:00:01.397917,21,52,0,COMPLETE
16,16,-1.6466837403823706,0.00823166685733477,2024-05-18 10:48:48.900411,2024-05-18 10:48:50.342405,0 days 00:00:01.441994,29,197,0,COMPLETE
17,17,-0.3402677862396891,0.00583675318585916,2024-05-18 10:48:50.342405,2024-05-18 10:48:51.845403,0 days 00:00:01.502998,93,102,0,COMPLETE
18,18,-60.79360628995581,0.024626989171265608,2024-05-18 10:48:51.846455,2024-05-18 10:48:53.165252,0 days 00:00:01.318797,11,6,0,COMPLETE
19,19,-1.846954164147245,0.008211437716644747,2024-05-18 10:48:53.165252,2024-05-18 10:48:54.767906,0 days 00:00:01.602654,47,122,0,COMPLETE
20,20,-1.1457482872713427,0.007469709733747021,2024-05-18 10:48:54.767906,2024-05-18 10:48:56.091064,0 days 00:00:01.323158,57,144,0,COMPLETE
21,21,-189.49360794682167,0.034335068695734806,2024-05-18 10:48:56.091064,2024-05-18 10:48:57.384109,0 days 00:00:01.293045,11,41,0,COMPLETE
22,22,-0.8255778772032498,0.006593974713901984,2024-05-18 10:48:57.384109,2024-05-18 10:48:58.891001,0 days 00:00:01.506892,96,88,0,COMPLETE
23,23,-1.3395814056769706,0.007932073621956833,2024-05-18 10:48:58.891001,2024-05-18 10:49:00.400726,0 days 00:00:01.509725,74,26,0,COMPLETE
24,24,-0.9988092324892293,0.007212529731894832,2024-05-18 10:49:00.400726,2024-05-18 10:49:01.941401,0 days 00:00:01.540675,81,119,0,COMPLETE
25,25,-2.0844041273935883,0.00883029503713538,2024-05-18 10:49:01.941401,2024-05-18 10:49:03.314313,0 days 00:00:01.372912,41,35,0,COMPLETE
26,26,-0.37746931274220763,0.005976758053423734,2024-05-18 10:49:03.314313,2024-05-18 10:49:04.716321,0 days 00:00:01.402008,16,126,0,COMPLETE
27,27,-1.2660284602112728,0.007365578420683932,2024-05-18 10:49:04.716321,2024-05-18 10:49:06.007622,0 days 00:00:01.291301,41,135,0,COMPLETE
28,28,-14.734100668755213,0.016309195950829296,2024-05-18 10:49:06.007622,2024-05-18 10:49:07.373548,0 days 00:00:01.365926,33,149,0,COMPLETE
29,29,-8.424269672278664,0.01281286833139716,2024-05-18 10:49:07.373548,2024-05-18 10:49:08.828336,0 days 00:00:01.454788,23,121,0,COMPLETE
30,30,-0.6027618126238938,0.006506815296263099,2024-05-18 10:49:08.828336,2024-05-18 10:49:10.394308,0 days 00:00:01.565972,85,145,0,COMPLETE
31,31,-1.6454878976070617,0.008312746274380662,2024-05-18 10:49:10.394308,2024-05-18 10:49:11.990039,0 days 00:00:01.595731,80,213,0,COMPLETE
32,32,-0.9320177321473422,0.00715851465154423,2024-05-18 10:49:12.005628,2024-05-18 10:49:13.507537,0 days 00:00:01.501909,74,22,0,COMPLETE
33,33,-1.3212451727588888,0.007530919876401879,2024-05-18 10:49:13.507537,2024-05-18 10:49:14.874019,0 days 00:00:01.366482,26,147,0,COMPLETE
34,34,-0.7511327363970582,0.006780406681885004,2024-05-18 10:49:14.874019,2024-05-18 10:49:16.143904,0 days 00:00:01.269885,17,103,0,COMPLETE
35,35,-1.1414630771515524,0.0073711258508892315,2024-05-18 10:49:16.143904,2024-05-18 10:49:17.569843,0 days 00:00:01.425939,83,36,0,COMPLETE
36,36,-1.3038834858994204,0.007692103548999324,2024-05-18 10:49:17.569843,2024-05-18 10:49:18.922397,0 days 00:00:01.352554,61,183,0,COMPLETE
37,37,-5.225868656625597,0.012022005061430838,2024-05-18 10:49:18.922397,2024-05-18 10:49:20.265163,0 days 00:00:01.342766,26,136,0,COMPLETE
38,38,-0.6486992764385311,0.006610052864107177,2024-05-18 10:49:20.265163,2024-05-18 10:49:21.713186,0 days 00:00:01.448023,59,143,0,COMPLETE
39,39,-16.8902592595995,0.014695369317643514,2024-05-18 10:49:21.728776,2024-05-18 10:49:23.147673,0 days 00:00:01.418897,72,169,0,COMPLETE
40,40,-0.6712979888801429,0.0065983223994037655,2024-05-18 10:49:23.147673,2024-05-18 10:49:24.745732,0 days 00:00:01.598059,98,74,0,COMPLETE
41,41,-0.7983500569510653,0.006866148996408717,2024-05-18 10:49:24.745732,2024-05-18 10:49:26.323271,0 days 00:00:01.577539,82,164,0,COMPLETE
42,42,-0.586919575561159,0.006448089193733397,2024-05-18 10:49:26.323271,2024-05-18 10:49:27.785354,0 days 00:00:01.462083,87,68,0,COMPLETE
43,43,-35.871236315232196,0.023544654156903544,2024-05-18 10:49:27.785354,2024-05-18 10:49:29.171690,0 days 00:00:01.386336,12,30,0,COMPLETE
44,44,-0.2862910002502686,0.005850579076617108,2024-05-18 10:49:29.187311,2024-05-18 10:49:30.758856,0 days 00:00:01.571545,88,189,0,COMPLETE
45,45,-1.1754711686221513,0.007535407826114596,2024-05-18 10:49:30.758856,2024-05-18 10:49:32.483383,0 days 00:00:01.724527,45,6,0,COMPLETE
46,46,-1.2990262267833868,0.007681440297408746,2024-05-18 10:49:32.483383,2024-05-18 10:49:34.074385,0 days 00:00:01.591002,44,204,0,COMPLETE
47,47,-3.0551518849167096,0.008950689902144662,2024-05-18 10:49:34.074385,2024-05-18 10:49:35.617349,0 days 00:00:01.542964,26,162,0,COMPLETE
48,48,-4.441001341082107,0.010403357141662522,2024-05-18 10:49:35.617349,2024-05-18 10:49:37.244660,0 days 00:00:01.627311,50,62,0,COMPLETE
49,49,-11.224817371723393,0.014693093215243258,2024-05-18 10:49:37.244660,2024-05-18 10:49:38.899027,0 days 00:00:01.654367,30,54,0,COMPLETE
50,50,-0.41272739428748884,0.006033020322286984,2024-05-18 10:49:38.899027,2024-05-18 10:49:40.197042,0 days 00:00:01.298015,17,36,1,COMPLETE
51,51,-1.3673386160517613,0.007782000231464482,2024-05-18 10:49:40.197042,2024-05-18 10:49:41.647198,0 days 00:00:01.450156,64,106,1,COMPLETE
